blockNumber, logIndex, processId, address, productId, state, premiumAmount, sumInsuredAmount, data, createdAt, updatedAt
19439211, 8, 0xa8475af8941f35e2bedfa1e610e3b08634edc90f5e059d307177ea76acf0a019, 0xB3a0487Bbff090Bf16001659398eEF087F788785, 3, 2, 1500000, 8000000, 0x114b47857c991ac460276fd8140f91bd633060c200324c112ea9d15eb58694b7, 1662112881, 1662112881
19439444, 9, 0xc2b41ddb2d10bc29be5722e7959f09f61aadde08009d10c7412fe2b6435a71d5, 0x7bE66C2D277d65815323b34D6c8625747a8e6DAa, 3, 2, 1500000, 8000000, 0x114b47857c991ac460276fd8140f91bd633060c200324c112ea9d15eb58694b7, 1662113347, 1662113347
19439519, 2, 0x597e727c400e8104473db680fdf20389afee426084eeb45bbeeae48f3ad813d6, 0xBaF10B085e9c9D853d4FdfF95F86F9c87DF96544, 3, 2, 1500000, 8000000, 0x114b47857c991ac460276fd8140f91bd633060c200324c112ea9d15eb58694b7, 1662113498, 1662113498
19439572, 3, 0xdbbf0fbcf0b92220c2db9c5f72087f2ad90428e2d18c0793f93759b04949e1c4, 0xF51d557746EE6ce4C30761707bb447F6d1874F70, 3, 2, 1500000, 8000000, 0x114b47857c991ac460276fd8140f91bd633060c200324c112ea9d15eb58694b7, 1662113604, 1662113604
19439602, 24, 0x35710d0d8e056aa3e464aa0113a1d352da34be74af5fb91e7dfdc0ec69ea6e0b, 0x2a64423669a5893F91BD6B551306358261F2bFaC, 3, 2, 1500000, 8000000, 0x641df307a9b8f2b47119e31459105682152f9ae361fe2adf255ff5bbae837a37, 1662113664, 1662113664
19439720, 18, 0x6195524381a4703c6e6fef06da02ce2f745f31001430f237725d87612d7232db, 0x8ff04B9c12e9969d88111Ed866D04CE2989d4D75, 3, 2, 1500000, 8000000, 0x641df307a9b8f2b47119e31459105682152f9ae361fe2adf255ff5bbae837a37, 1662113902, 1662113902
19439980, 1, 0x6a141a210c730eb5a825c1b6a415c8cbf7e69433ce6c67e13910bf095a179447, 0xd88cE5ffbe0aed697237835cBEb3801Af36f3389, 3, 2, 1500000, 8000000, 0xb6fe48d4a35da61a74a814d7559ec8ea92d4234c06ad1aed6191ca7e04212e18, 1662114425, 1662114425
19440742, 4, 0x468e8b50f23ce217f782a92c98936ef6602382c9449817560cc33339820d835c, 0xbeF033eD19c97271Abd30Ae1281d9f61f4965616, 3, 2, 1500000, 8000000, 0xb6fe48d4a35da61a74a814d7559ec8ea92d4234c06ad1aed6191ca7e04212e18, 1662115958, 1662115958
19440824, 0, 0xe39ab478bede09b591239f963f07077736d53d28261509e36d4422dafa6a987a, 0x2916730baD325a2275C97b9798738AFE637ad85B, 3, 2, 1500000, 8000000, 0x641df307a9b8f2b47119e31459105682152f9ae361fe2adf255ff5bbae837a37, 1662116122, 1662116122
19441366, 3, 0x19fc5581c4cc1b8b87b244bb10eb17fa0f3a63b392bfb0bdd46ef94541958af7, 0xFD640D8b45dEb53A03a9E8309cbC7E87d89a5428, 3, 2, 1500000, 8000000, 0xb6fe48d4a35da61a74a814d7559ec8ea92d4234c06ad1aed6191ca7e04212e18, 1662117211, 1662117211
19441448, 0, 0x4e79ac85b075e2de75dc129efa65616474612c2fac738f7c98b3da293666c82f, 0xB7668FAFb20F5c5f3d0C20717d5AFfBf6890E9bF, 3, 2, 1500000, 8000000, 0xb6fe48d4a35da61a74a814d7559ec8ea92d4234c06ad1aed6191ca7e04212e18, 1662117379, 1662117379
19442456, 21, 0x69cd8af24746dd6c18bd520edba91a323392f40d74cda9c4acf8b8860b3fdc97, 0x25a6155C913c3B9383991cc27Ec3E664223E6DC1, 3, 2, 1500000, 8000000, 0xa002fe60b8446547bc57a9650b902b06fa0fd40c301b13a33786ced2a3945603, 1662119419, 1662119419
19442791, 17, 0xe4b7faf871d09fc59dd7b312cf39f7b6ba287c576f2553078c5ac897dbc7bc31, 0x723DB88A4D8B1c13686d21F034F071f284E09b14, 3, 2, 1500000, 8000000, 0xa002fe60b8446547bc57a9650b902b06fa0fd40c301b13a33786ced2a3945603, 1662120091, 1662120091
19447345, 5, 0xd659197828d6b7cf50205347b734922b38cc9b09703d3318ea310d2d1fe65208, 0x99bb18b17e7EFFEe183B675987191B9Da5fb5e3F, 3, 0, 1500000, 8000000, 0x9b64fa608cf81ffb08aa83ff0058147a9f2ceb397b7b59818344cc70e28422ae, 1662129226, 1662129226
19447405, 5, 0x2599c082b9dd25253dd69cd86816ce594c6271cc8a095a9a360a2a795610832f, 0xe31CAfc3ef657d478A9341885B99Baf2E898de10, 3, 0, 1500000, 8000000, 0xa002fe60b8446547bc57a9650b902b06fa0fd40c301b13a33786ced2a3945603, 1662129347, 1662129347
19447630, 2, 0x36a1032aaeb9da5140f092cde10d8fe3b04c42d0e816d2111928a07ae7febc7f, 0xe31CAfc3ef657d478A9341885B99Baf2E898de10, 3, 0, 1500000, 8000000, 0xa002fe60b8446547bc57a9650b902b06fa0fd40c301b13a33786ced2a3945603, 1662129797, 1662129797
19449569, 3, 0x9c4e19c22d1d8eef1cc2585f3636920de2bfd45918a14f83827ae5f9c5dbb8c7, 0xEF542A3f3B557Fc443a2a9224f1364d9ff5327eA, 3, 2, 1500000, 8000000, 0x9b64fa608cf81ffb08aa83ff0058147a9f2ceb397b7b59818344cc70e28422ae, 1662133709, 1662133709
19479833, 1, 0xf2a2b32d33499feed6d9eaf4c95a7ebb1c1009b13e273c0d956bcb2914781176, 0xB17a79473aFa8c943f9A90420Cc2f8EE2e943e60, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662195232, 1662195232
19611735, 25, 0x1d0a0710a576e1a1060338227234e86ea8f388693eff83f543c68c9eb80982b3, 0xe72c51c5811E53E6E8cFaF45039cA526179088Db, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662488896, 1662488896
19612183, 34, 0x0ef506e6805cbfa0426e1004445079ccc573e67740d3d7c16846125d5011b0b3, 0xBC3d7C1225Ec6c84Ed848DDbA8bfC94cF94f43E5, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662489805, 1662489805
19612285, 9, 0x9f79d93928fc0ca9db8102ae9f7257cdc994008236b2d3b5d0ee8e0c5cb351b7, 0x53D3120785A952deE892449e0Ab41ff3Abe496f4, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662490009, 1662490009
19612528, 5, 0x1cbc323282a2d0ec6c0ea30919705032aefffb30987edce1417f7a19f7885d6f, 0xc4dC210f3b43c7BA2223Cd05F90f0a6Ba836a6A1, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662490512, 1662490512
19612576, 2, 0x32e0c4a03d399a1d410f57535925f43ac94de3fdeb05ce2d8e24b422bc2856c2, 0x910A77Ae958dF1149461fbbF97e3385aa7F9E675, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662490608, 1662490608
19612784, 10, 0xcc92b919fc6b0d09f478f0853db7b9338f1ec2f483170111a13b12029dbd2ada, 0xB5bEd3b51E3Bb62842dD8fB490d8C9D7bD69371b, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662491034, 1662491034
19612954, 4, 0xff7132c1bd5469f11263e145877c0efa04aeff91703201df682cb0238489514e, 0xcf6529Aeefa8C02d92b4ed1e67b83c8025fB8B00, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662491373, 1662491373
19637858, 19, 0xb1906c6acce520fbecdbe8a65ae22198b2c6dd613b65f277975f88e817611a24, 0x5986E5f2140b84d4eB958Ea1193022574925268E, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662551591, 1662551591
19663670, 6, 0xf45a0423d3081c368358eaf2ade695696280961f02c381b0562ae5a8317696bf, 0x09B2290C30fD087E4F97fAE9CD4B1954A0dC4532, 3, 2, 4000000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662607702, 1662607702
19664016, 0, 0x295d8f5716fd023adf41bcedfb94585a122af84846299b89d76165e43fefd82a, 0xCdF46ae219Cd8786B7858d766F93407756110966, 3, 2, 4000000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662608458, 1662608458
19664122, 1, 0xc0f7fc6f3d450a52785edc8211b7761bf925cc5ef8af2d90390f0778c72246a9, 0x0513b83E698d875768060B5Dd697DC04D8D9f6E1, 3, 2, 4000000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662608688, 1662608688
19665206, 6, 0x928ba768c58ca77f76a1224b4a7c232da43a1e6df6a8ec4d28290a6462b81f72, 0x304C41e64d9ba6B7d9D0A1b9A30a4B7772Ea79AF, 3, 2, 4000000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662611005, 1662611005
19665805, 9, 0x37c9941bfea7526c5ffb76537b5f3aad255dda4f9943a139027fc07d7249e87f, 0x4949d03C6297E4b6B83E3f7596eB5Dc6C67262e9, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662612284, 1662612284
19666319, 9, 0x7952b30fde244a49a5caf02ac811157427ad2b53fe0c0940ff990279c53340c4, 0x9566f9d74610EC26e633249A1a6126b5529F28B5, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662613408, 1662613408
19666547, 2, 0x63f76c8a0a5864ba04a29b5621a0fe51118d7e4c4004c5ae352a03655b10af9f, 0xA38624d4D328b4bdc5d67bf02a1A8e18c7b47983, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662613899, 1662613899
19666656, 7, 0x3c831f68b30589cf1c397efacb2c326f076f4c75315196af16e152449b787bd6, 0xfd5A5776245DD8bEf04bF17C4Bf773B28a9cc325, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662614144, 1662614144
19683857, 2, 0xf9c76b332952dfa612ad05b76a1a494da6f12bf94bcffb73399e32343d91b3ab, 0x5986E5f2140b84d4eB958Ea1193022574925268E, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662650992, 1662650992
19684248, 1, 0xb6fdb00b8ec9cd9f1a6aa8d8f1d3b900489077417374d4d745948e1f359123fd, 0x53D3120785A952deE892449e0Ab41ff3Abe496f4, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662651807, 1662651807
19684291, 19, 0x900ac2c32775b028570ca57e7adf8c58ababe335f193570c8be4ff2425dcfba9, 0xc4dC210f3b43c7BA2223Cd05F90f0a6Ba836a6A1, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662651899, 1662651899
19685810, 1, 0xdf3ccf171dc413c8d16c0fa15cf092d1f1dd89ae84e8b13234cecb7192ecdfbf, 0xcf6529Aeefa8C02d92b4ed1e67b83c8025fB8B00, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662655189, 1662655189
19686092, 0, 0x446388015a4bbfcdf0e4ae3036ee5b077169bb6f909805fb14be6287daef74e5, 0x5F5457AE5d4837f91Ae546c9d817aF3466a17Bce, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662655783, 1662655783
19686160, 1, 0xea9089cca5c2001d4dcc911f544df4db2a405b18b64d762741f42aa08f61729f, 0x910A77Ae958dF1149461fbbF97e3385aa7F9E675, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662655923, 1662655923
19703344, 16, 0xa24192fb2151c049f34520686add984f20c63fb4dfad39b2cab5b60c050a6b29, 0xc4dC210f3b43c7BA2223Cd05F90f0a6Ba836a6A1, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662712604, 1662712604
19703405, 13, 0x936186bdf8727057124a1db0fdc5725cdfab293dccddd3d8abac9e6a34937acc, 0x5986E5f2140b84d4eB958Ea1193022574925268E, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662712796, 1662712796
19703464, 1, 0x2aca49e4acfb1b5dd6341696001a127fa323c0bb9796485b958974174319eb50, 0x910A77Ae958dF1149461fbbF97e3385aa7F9E675, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662712977, 1662712977
19703796, 0, 0xae936d6f3f93fc60fc6b813f61368f2dc5b6a9a4cf3c233e0adf3e04de488d10, 0x5F5457AE5d4837f91Ae546c9d817aF3466a17Bce, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662714055, 1662714055
19704852, 38, 0x77821c3883ec0a8621b3bf063836f8c3f88ecc17db5e03aa5ed80ba0c3b3b815, 0xcf6529Aeefa8C02d92b4ed1e67b83c8025fB8B00, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662717555, 1662717555
19788861, 4, 0x89b82ccd8c7b357158110c4bf947ed60a293074255ee611a4e4e9af1afd33505, 0xe31CAfc3ef657d478A9341885B99Baf2E898de10, 3, 2, 1500000, 8000000, 0xa002fe60b8446547bc57a9650b902b06fa0fd40c301b13a33786ced2a3945603, 1662966550, 1662966550
19789317, 3, 0xd3089fd7e461ea97e1e3b150f8f2ea10a6c5e5987c00bb45712f9de7e89ed0a3, 0xC9455766BD2cD110283C737181EAb0D322A162e7, 3, 2, 1500000, 8000000, 0xa002fe60b8446547bc57a9650b902b06fa0fd40c301b13a33786ced2a3945603, 1662967707, 1662967707
19790656, 0, 0x5374ca777f60811d4b8009732a21d83559550f69af42d89322db88b096131851, 0x99bb18b17e7EFFEe183B675987191B9Da5fb5e3F, 3, 2, 1500000, 8000000, 0x9b64fa608cf81ffb08aa83ff0058147a9f2ceb397b7b59818344cc70e28422ae, 1662971067, 1662971067
19791160, 3, 0x14234e68ee00c73a3b37d32c2a1599bb3e8510425796ae977c046bf17c225f93, 0x1A1986AAa8Dd72167948225985Cc3ab4e6A45d61, 3, 2, 1500000, 8000000, 0x614fec042d363cb30baa422780bc68b7e1644a5d51abdaff0f7c8d87b4ba3223, 1662972355, 1662972355
19792641, 0, 0xf28895deb68cd5a0fa253db2455e016437d2792e65c01320444340827eb048d7, 0xeF35A2dB977Fd023d151590AEF1d9f644eBd1bd3, 3, 2, 1500000, 8000000, 0x351f6db2b48302f9d751feceb9ebda37a21e47b9868f410e9d8b407d8cf448f1, 1662976036, 1662976036
19793082, 31, 0x7f82356a74157a92b91cc940e90efa7f7f8aac738c6feb410ad19a366a643b4c, 0xFE05369820ADe177Ba235440766c82fB0d2e3150, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662977177, 1662977177
19794877, 0, 0x0f48ec57750840456138e50521b85f7ac019180ed06ce4a807b794edd80c451c, 0x55eD5e838dCE918BcB826d847d61C3403F189223, 3, 2, 1500000, 8000000, 0x9b64fa608cf81ffb08aa83ff0058147a9f2ceb397b7b59818344cc70e28422ae, 1662981668, 1662981668
19824669, 3, 0x51339110343f234fa811343e76d26dac86fb86d3e18d0d1fb9663efdee00601e, 0xfd5A5776245DD8bEf04bF17C4Bf773B28a9cc325, 3, 2, 4000000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1663057016, 1663057016
19832871, 7, 0xc12a40f27c6284eacef1856537354fe1813e52100ecd1eee9f9879517c2cf02d, 0x49fCe4Ea6daE50B48BEA9E405f01307573c1aD18, 3, 2, 4000000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1663077430, 1663077430
19860605, 5, 0xf3dd705a549bd342c20a846012cda3f1bdfd82ff589cd171e0a0ce20b8b20dd2, 0x6fE534112a90E66a8A61c23f6d42E98f5a365BcB, 3, 2, 1500000, 8000000, 0x351f6db2b48302f9d751feceb9ebda37a21e47b9868f410e9d8b407d8cf448f1, 1663148477, 1663148477
